position,const,created,modified,description,Title,Title Type,IMDb Rating,Runtime,Year,Votes,ReleaseDate,URL,Director,Genre
1,tt0111161,Tue Oct  2 18:08:12 2012,Tue Oct  2 18:08:12 2012,,The Shawshank Redemption,Feature Film,9.3,142,1994,1876647,9/10/1994,http://www.imdb.com/title/tt0111161/,Frank Darabont,crime
1,tt0111161,Tue Oct  2 18:08:12 2012,Tue Oct  2 18:08:12 2012,,The Shawshank Redemption,Feature Film,9.3,142,1994,1876647,9/10/1994,http://www.imdb.com/title/tt0111161/,Frank Darabont,drama
2,tt0110912,Tue Oct  2 18:08:17 2012,Tue Oct  2 18:08:17 2012,,Pulp Fiction,Feature Film,8.9,154,1994,1468245,5/21/1994,http://www.imdb.com/title/tt0110912/,Quentin Tarantino,crime
2,tt0110912,Tue Oct  2 18:08:17 2012,Tue Oct  2 18:08:17 2012,,Pulp Fiction,Feature Film,8.9,154,1994,1468245,5/21/1994,http://www.imdb.com/title/tt0110912/,Quentin Tarantino,drama
3,tt0468569,Tue Oct  2 18:08:18 2012,Tue Oct  2 18:08:18 2012,,The Dark Knight,Feature Film,9,152,2008,1852757,7/14/2008,http://www.imdb.com/title/tt0468569/,Christopher Nolan,action
3,tt0468569,Tue Oct  2 18:08:18 2012,Tue Oct  2 18:08:18 2012,,The Dark Knight,Feature Film,9,152,2008,1852757,7/14/2008,http://www.imdb.com/title/tt0468569/,Christopher Nolan,crime
3,tt0468569,Tue Oct  2 18:08:18 2012,Tue Oct  2 18:08:18 2012,,The Dark Knight,Feature Film,9,152,2008,1852757,7/14/2008,http://www.imdb.com/title/tt0468569/,Christopher Nolan,drama
3,tt0468569,Tue Oct  2 18:08:18 2012,Tue Oct  2 18:08:18 2012,,The Dark Knight,Feature Film,9,152,2008,1852757,7/14/2008,http://www.imdb.com/title/tt0468569/,Christopher Nolan,thriller
4,tt0050083,Tue Oct  2 18:08:21 2012,Tue Oct  2 18:08:21 2012,,12 Angry Men,Feature Film,8.9,96,1957,514078,4/10/1957,http://www.imdb.com/title/tt0050083/,Sidney Lumet,crime
4,tt0050083,Tue Oct  2 18:08:21 2012,Tue Oct  2 18:08:21 2012,,12 Angry Men,Feature Film,8.9,96,1957,514078,4/10/1957,http://www.imdb.com/title/tt0050083/,Sidney Lumet,drama
5,tt0167260,Tue Oct  2 18:08:25 2012,Tue Oct  2 18:08:25 2012,,The Lord of the Rings: The Return of the King,Feature Film,8.9,201,2003,1341582,12/1/2003,http://www.imdb.com/title/tt0167260/,Peter Jackson,adventure
5,tt0167260,Tue Oct  2 18:08:25 2012,Tue Oct  2 18:08:25 2012,,The Lord of the Rings: The Return of the King,Feature Film,8.9,201,2003,1341582,12/1/2003,http://www.imdb.com/title/tt0167260/,Peter Jackson,drama
5,tt0167260,Tue Oct  2 18:08:25 2012,Tue Oct  2 18:08:25 2012,,The Lord of the Rings: The Return of the King,Feature Film,8.9,201,2003,1341582,12/1/2003,http://www.imdb.com/title/tt0167260/,Peter Jackson,fantasy
6,tt0137523,Tue Oct  2 18:08:26 2012,Tue Oct  2 18:08:26 2012,,Fight Club,Feature Film,8.8,139,1999,1504275,9/10/1999,http://www.imdb.com/title/tt0137523/,David Fincher,drama
7,tt0080684,Tue Oct  2 18:08:27 2012,Tue Oct  2 18:08:27 2012,,Star Wars: Episode V - The Empire Strikes Back,Feature Film,8.8,124,1980,936442,5/17/1980,http://www.imdb.com/title/tt0080684/,Irvin Kershner,action
7,tt0080684,Tue Oct  2 18:08:27 2012,Tue Oct  2 18:08:27 2012,,Star Wars: Episode V - The Empire Strikes Back,Feature Film,8.8,124,1980,936442,5/17/1980,http://www.imdb.com/title/tt0080684/,Irvin Kershner,adventure
7,tt0080684,Tue Oct  2 18:08:27 2012,Tue Oct  2 18:08:27 2012,,Star Wars: Episode V - The Empire Strikes Back,Feature Film,8.8,124,1980,936442,5/17/1980,http://www.imdb.com/title/tt0080684/,Irvin Kershner,fantasy
7,tt0080684,Tue Oct  2 18:08:27 2012,Tue Oct  2 18:08:27 2012,,Star Wars: Episode V - The Empire Strikes Back,Feature Film,8.8,124,1980,936442,5/17/1980,http://www.imdb.com/title/tt0080684/,Irvin Kershner,sci_fi
8,tt1375666,Tue Oct  2 18:08:29 2012,Tue Oct  2 18:08:29 2012,,Inception,Feature Film,8.8,148,2010,1642439,7/8/2010,http://www.imdb.com/title/tt1375666/,Christopher Nolan,action
8,tt1375666,Tue Oct  2 18:08:29 2012,Tue Oct  2 18:08:29 2012,,Inception,Feature Film,8.8,148,2010,1642439,7/8/2010,http://www.imdb.com/title/tt1375666/,Christopher Nolan,adventure
8,tt1375666,Tue Oct  2 18:08:29 2012,Tue Oct  2 18:08:29 2012,,Inception,Feature Film,8.8,148,2010,1642439,7/8/2010,http://www.imdb.com/title/tt1375666/,Christopher Nolan,sci_fi
8,tt1375666,Tue Oct  2 18:08:29 2012,Tue Oct  2 18:08:29 2012,,Inception,Feature Film,8.8,148,2010,1642439,7/8/2010,http://www.imdb.com/title/tt1375666/,Christopher Nolan,thriller
9,tt1345836,Tue Oct  2 18:08:30 2012,Tue Oct  2 18:08:30 2012,,The Dark Knight Rises,Feature Film,8.4,164,2012,1262175,7/16/2012,http://www.imdb.com/title/tt1345836/,Christopher Nolan,action
9,tt1345836,Tue Oct  2 18:08:30 2012,Tue Oct  2 18:08:30 2012,,The Dark Knight Rises,Feature Film,8.4,164,2012,1262175,7/16/2012,http://www.imdb.com/title/tt1345836/,Christopher Nolan,thriller
10,tt0120737,Tue Oct  2 18:08:31 2012,Tue Oct  2 18:08:31 2012,,The Lord of the Rings: The Fellowship of the Ring,Feature Film,8.8,178,2001,1361932,12/10/2001,http://www.imdb.com/title/tt0120737/,Peter Jackson,adventure
10,tt0120737,Tue Oct  2 18:08:31 2012,Tue Oct  2 18:08:31 2012,,The Lord of the Rings: The Fellowship of the Ring,Feature Film,8.8,178,2001,1361932,12/10/2001,http://www.imdb.com/title/tt0120737/,Peter Jackson,drama
10,tt0120737,Tue Oct  2 18:08:31 2012,Tue Oct  2 18:08:31 2012,,The Lord of the Rings: The Fellowship of the Ring,Feature Film,8.8,178,2001,1361932,12/10/2001,http://www.imdb.com/title/tt0120737/,Peter Jackson,fantasy
11,tt0073486,Tue Oct  2 18:08:32 2012,Tue Oct  2 18:08:32 2012,,One Flew Over the Cuckoos Nest,Feature Film,8.7,133,1975,749488,11/19/1975,http://www.imdb.com/title/tt0073486/,Milos Forman,drama
12,tt0109830,Tue Oct  2 18:08:59 2012,Tue Oct  2 18:08:59 2012,,Forrest Gump,Feature Film,8.8,142,1994,1415466,6/23/1994,http://www.imdb.com/title/tt0109830/,Robert Zemeckis,drama
12,tt0109830,Tue Oct  2 18:08:59 2012,Tue Oct  2 18:08:59 2012,,Forrest Gump,Feature Film,8.8,142,1994,1415466,6/23/1994,http://www.imdb.com/title/tt0109830/,Robert Zemeckis,romance
13,tt0133093,Tue Oct  2 18:09:01 2012,Tue Oct  2 18:09:01 2012,,The Matrix,Feature Film,8.7,136,1999,1350195,3/24/1999,http://www.imdb.com/title/tt0133093/,The Wachowski Brothers,action
13,tt0133093,Tue Oct  2 18:09:01 2012,Tue Oct  2 18:09:01 2012,,The Matrix,Feature Film,8.7,136,1999,1350195,3/24/1999,http://www.imdb.com/title/tt0133093/,The Wachowski Brothers,sci_fi
14,tt0167261,Tue Oct  2 18:09:03 2012,Tue Oct  2 18:09:03 2012,,The Lord of the Rings: The Two Towers,Feature Film,8.7,179,2002,1214326,12/5/2002,http://www.imdb.com/title/tt0167261/,Peter Jackson,adventure
14,tt0167261,Tue Oct  2 18:09:03 2012,Tue Oct  2 18:09:03 2012,,The Lord of the Rings: The Two Towers,Feature Film,8.7,179,2002,1214326,12/5/2002,http://www.imdb.com/title/tt0167261/,Peter Jackson,drama
14,tt0167261,Tue Oct  2 18:09:03 2012,Tue Oct  2 18:09:03 2012,,The Lord of the Rings: The Two Towers,Feature Film,8.7,179,2002,1214326,12/5/2002,http://www.imdb.com/title/tt0167261/,Peter Jackson,fantasy
15,tt0034583,Tue Oct  2 18:09:06 2012,Tue Oct  2 18:09:06 2012,,Casablanca,Feature Film,8.5,102,1942,427337,11/26/1942,http://www.imdb.com/title/tt0034583/,Michael Curtiz,drama
15,tt0034583,Tue Oct  2 18:09:06 2012,Tue Oct  2 18:09:06 2012,,Casablanca,Feature Film,8.5,102,1942,427337,11/26/1942,http://www.imdb.com/title/tt0034583/,Michael Curtiz,romance
15,tt0034583,Tue Oct  2 18:09:06 2012,Tue Oct  2 18:09:06 2012,,Casablanca,Feature Film,8.5,102,1942,427337,11/26/1942,http://www.imdb.com/title/tt0034583/,Michael Curtiz,war
16,tt0114369,Tue Oct  2 18:09:07 2012,Tue Oct  2 18:09:07 2012,,Se7en,Feature Film,8.6,127,1995,1144529,9/15/1995,http://www.imdb.com/title/tt0114369/,David Fincher,crime
16,tt0114369,Tue Oct  2 18:09:07 2012,Tue Oct  2 18:09:07 2012,,Se7en,Feature Film,8.6,127,1995,1144529,9/15/1995,http://www.imdb.com/title/tt0114369/,David Fincher,drama
16,tt0114369,Tue Oct  2 18:09:07 2012,Tue Oct  2 18:09:07 2012,,Se7en,Feature Film,8.6,127,1995,1144529,9/15/1995,http://www.imdb.com/title/tt0114369/,David Fincher,mystery
16,tt0114369,Tue Oct  2 18:09:07 2012,Tue Oct  2 18:09:07 2012,,Se7en,Feature Film,8.6,127,1995,1144529,9/15/1995,http://www.imdb.com/title/tt0114369/,David Fincher,thriller
17,tt0047396,Tue Oct  2 18:09:17 2012,Tue Oct  2 18:09:17 2012,,Rear Window,Feature Film,8.5,112,1954,353072,8/4/1954,http://www.imdb.com/title/tt0047396/,Alfred Hitchcock,mystery
17,tt0047396,Tue Oct  2 18:09:17 2012,Tue Oct  2 18:09:17 2012,,Rear Window,Feature Film,8.5,112,1954,353072,8/4/1954,http://www.imdb.com/title/tt0047396/,Alfred Hitchcock,thriller
18,tt0038650,Tue Oct  2 18:09:19 2012,Tue Oct  2 18:09:19 2012,,Its a Wonderful Life,Feature Film,8.6,130,1946,309873,12/21/1946,http://www.imdb.com/title/tt0038650/,Frank Capra,drama
18,tt0038650,Tue Oct  2 18:09:19 2012,Tue Oct  2 18:09:19 2012,,Its a Wonderful Life,Feature Film,8.6,130,1946,309873,12/21/1946,http://www.imdb.com/title/tt0038650/,Frank Capra,family
18,tt0038650,Tue Oct  2 18:09:19 2012,Tue Oct  2 18:09:19 2012,,Its a Wonderful Life,Feature Film,8.6,130,1946,309873,12/21/1946,http://www.imdb.com/title/tt0038650/,Frank Capra,fantasy
19,tt0054215,Tue Oct  2 18:09:22 2012,Tue Oct  2 18:09:22 2012,,Psycho,Feature Film,8.5,109,1960,473506,6/16/1960,http://www.imdb.com/title/tt0054215/,Alfred Hitchcock,horror
19,tt0054215,Tue Oct  2 18:09:22 2012,Tue Oct  2 18:09:22 2012,,Psycho,Feature Film,8.5,109,1960,473506,6/16/1960,http://www.imdb.com/title/tt0054215/,Alfred Hitchcock,mystery
19,tt0054215,Tue Oct  2 18:09:22 2012,Tue Oct  2 18:09:22 2012,,Psycho,Feature Film,8.5,109,1960,473506,6/16/1960,http://www.imdb.com/title/tt0054215/,Alfred Hitchcock,thriller
20,tt0103064,Tue Oct  2 18:09:30 2012,Tue Oct  2 18:09:30 2012,,Terminator 2,Feature Film,8.5,137,1991,819662,7/1/1991,http://www.imdb.com/title/tt0103064/,James Cameron,action
20,tt0103064,Tue Oct  2 18:09:30 2012,Tue Oct  2 18:09:30 2012,,Terminator 2,Feature Film,8.5,137,1991,819662,7/1/1991,http://www.imdb.com/title/tt0103064/,James Cameron,sci_fi
20,tt0103064,Tue Oct  2 18:09:30 2012,Tue Oct  2 18:09:30 2012,,Terminator 2,Feature Film,8.5,137,1991,819662,7/1/1991,http://www.imdb.com/title/tt0103064/,James Cameron,thriller
21,tt0848228,Tue Oct  2 18:09:42 2012,Tue Oct  2 18:09:42 2012,,The Avengers,Feature Film,8.1,143,2012,1070320,4/11/2012,http://www.imdb.com/title/tt0848228/,Joss Whedon,action
21,tt0848228,Tue Oct  2 18:09:42 2012,Tue Oct  2 18:09:42 2012,,The Avengers,Feature Film,8.1,143,2012,1070320,4/11/2012,http://www.imdb.com/title/tt0848228/,Joss Whedon,adventure
21,tt0848228,Tue Oct  2 18:09:42 2012,Tue Oct  2 18:09:42 2012,,The Avengers,Feature Film,8.1,143,2012,1070320,4/11/2012,http://www.imdb.com/title/tt0848228/,Joss Whedon,sci_fi
22,tt0120689,Tue Oct  2 18:09:43 2012,Tue Oct  2 18:09:43 2012,,The Green Mile,Feature Film,8.5,189,1999,888391,12/6/1999,http://www.imdb.com/title/tt0120689/,Frank Darabont,crime
22,tt0120689,Tue Oct  2 18:09:43 2012,Tue Oct  2 18:09:43 2012,,The Green Mile,Feature Film,8.5,189,1999,888391,12/6/1999,http://www.imdb.com/title/tt0120689/,Frank Darabont,drama
22,tt0120689,Tue Oct  2 18:09:43 2012,Tue Oct  2 18:09:43 2012,,The Green Mile,Feature Film,8.5,189,1999,888391,12/6/1999,http://www.imdb.com/title/tt0120689/,Frank Darabont,fantasy
22,tt0120689,Tue Oct  2 18:09:43 2012,Tue Oct  2 18:09:43 2012,,The Green Mile,Feature Film,8.5,189,1999,888391,12/6/1999,http://www.imdb.com/title/tt0120689/,Frank Darabont,mystery
23,tt0482571,Tue Oct  2 18:09:44 2012,Tue Oct  2 18:09:44 2012,,The Prestige,Feature Film,8.5,130,2006,952254,10/17/2006,http://www.imdb.com/title/tt0482571/,Christopher Nolan,drama
23,tt0482571,Tue Oct  2 18:09:44 2012,Tue Oct  2 18:09:44 2012,,The Prestige,Feature Film,8.5,130,2006,952254,10/17/2006,http://www.imdb.com/title/tt0482571/,Christopher Nolan,mystery
23,tt0482571,Tue Oct  2 18:09:44 2012,Tue Oct  2 18:09:44 2012,,The Prestige,Feature Film,8.5,130,2006,952254,10/17/2006,http://www.imdb.com/title/tt0482571/,Christopher Nolan,sci_fi
23,tt0482571,Tue Oct  2 18:09:44 2012,Tue Oct  2 18:09:44 2012,,The Prestige,Feature Film,8.5,130,2006,952254,10/17/2006,http://www.imdb.com/title/tt0482571/,Christopher Nolan,thriller
24,tt0180093,Tue Oct  2 18:09:48 2012,Tue Oct  2 18:09:48 2012,,Requiem for a Dream,Feature Film,8.3,102,2000,635459,5/14/2000,http://www.imdb.com/title/tt0180093/,Darren Aronofsky,drama
25,tt0071853,Tue Oct  2 18:10:12 2012,Tue Oct  2 18:10:12 2012,,Monty Python and the Holy Grail,Feature Film,8.3,91,1975,417541,3/14/1975,http://www.imdb.com/title/tt0071853/,Terry Gilliam,adventure
25,tt0071853,Tue Oct  2 18:10:12 2012,Tue Oct  2 18:10:12 2012,,Monty Python and the Holy Grail,Feature Film,8.3,91,1975,417541,3/14/1975,http://www.imdb.com/title/tt0071853/,Terry Gilliam,comedy
25,tt0071853,Tue Oct  2 18:10:12 2012,Tue Oct  2 18:10:12 2012,,Monty Python and the Holy Grail,Feature Film,8.3,91,1975,417541,3/14/1975,http://www.imdb.com/title/tt0071853/,Terry Gilliam,fantasy
26,tt0110357,Tue Oct  2 18:10:13 2012,Tue Oct  2 18:10:13 2012,,The Lion King,Feature Film,8.5,88,1994,730183,5/7/1994,http://www.imdb.com/title/tt0110357/,Roger Allers,animation
26,tt0110357,Tue Oct  2 18:10:13 2012,Tue Oct  2 18:10:13 2012,,The Lion King,Feature Film,8.5,88,1994,730183,5/7/1994,http://www.imdb.com/title/tt0110357/,Roger Allers,adventure
26,tt0110357,Tue Oct  2 18:10:13 2012,Tue Oct  2 18:10:13 2012,,The Lion King,Feature Film,8.5,88,1994,730183,5/7/1994,http://www.imdb.com/title/tt0110357/,Roger Allers,drama
26,tt0110357,Tue Oct  2 18:10:13 2012,Tue Oct  2 18:10:13 2012,,The Lion King,Feature Film,8.5,88,1994,730183,5/7/1994,http://www.imdb.com/title/tt0110357/,Roger Allers,family
26,tt0110357,Tue Oct  2 18:10:13 2012,Tue Oct  2 18:10:13 2012,,The Lion King,Feature Film,8.5,88,1994,730183,5/7/1994,http://www.imdb.com/title/tt0110357/,Roger Allers,musical
27,tt0112573,Tue Oct  2 18:10:16 2012,Tue Oct  2 18:10:16 2012,,Braveheart,Feature Film,8.4,178,1995,813175,5/18/1995,http://www.imdb.com/title/tt0112573/,Mel Gibson,biography
27,tt0112573,Tue Oct  2 18:10:16 2012,Tue Oct  2 18:10:16 2012,,Braveheart,Feature Film,8.4,178,1995,813175,5/18/1995,http://www.imdb.com/title/tt0112573/,Mel Gibson,drama
27,tt0112573,Tue Oct  2 18:10:16 2012,Tue Oct  2 18:10:16 2012,,Braveheart,Feature Film,8.4,178,1995,813175,5/18/1995,http://www.imdb.com/title/tt0112573/,Mel Gibson,history
27,tt0112573,Tue Oct  2 18:10:16 2012,Tue Oct  2 18:10:16 2012,,Braveheart,Feature Film,8.4,178,1995,813175,5/18/1995,http://www.imdb.com/title/tt0112573/,Mel Gibson,war
28,tt0086190,Tue Oct  2 18:10:20 2012,Tue Oct  2 18:10:20 2012,,Star Wars: Episode VI - Return of the Jedi,Feature Film,8.4,131,1983,767948,5/25/1983,http://www.imdb.com/title/tt0086190/,Richard Marquand,action
28,tt0086190,Tue Oct  2 18:10:20 2012,Tue Oct  2 18:10:20 2012,,Star Wars: Episode VI - Return of the Jedi,Feature Film,8.4,131,1983,767948,5/25/1983,http://www.imdb.com/title/tt0086190/,Richard Marquand,adventure
28,tt0086190,Tue Oct  2 18:10:20 2012,Tue Oct  2 18:10:20 2012,,Star Wars: Episode VI - Return of the Jedi,Feature Film,8.4,131,1983,767948,5/25/1983,http://www.imdb.com/title/tt0086190/,Richard Marquand,fantasy
28,tt0086190,Tue Oct  2 18:10:20 2012,Tue Oct  2 18:10:20 2012,,Star Wars: Episode VI - Return of the Jedi,Feature Film,8.4,131,1983,767948,5/25/1983,http://www.imdb.com/title/tt0086190/,Richard Marquand,sci_fi
29,tt0372784,Tue Oct  2 18:10:30 2012,Tue Oct  2 18:10:30 2012,,Batman Begins,Feature Film,8.3,152,2005,1083510,5/31/2005,http://www.imdb.com/title/tt0372784/,Christopher Nolan,action
29,tt0372784,Tue Oct  2 18:10:30 2012,Tue Oct  2 18:10:30 2012,,Batman Begins,Feature Film,8.3,152,2005,1083510,5/31/2005,http://www.imdb.com/title/tt0372784/,Christopher Nolan,adventure
29,tt0372784,Tue Oct  2 18:10:30 2012,Tue Oct  2 18:10:30 2012,,Batman Begins,Feature Film,8.3,152,2005,1083510,5/31/2005,http://www.imdb.com/title/tt0372784/,Christopher Nolan,thriller
30,tt0061512,Tue Oct  2 18:10:48 2012,Tue Oct  2 18:10:48 2012,,Cool Hand Luke,Feature Film,8.2,126,1967,131466,11/1/1967,http://www.imdb.com/title/tt0061512/,Stuart Rosenberg,crime
30,tt0061512,Tue Oct  2 18:10:48 2012,Tue Oct  2 18:10:48 2012,,Cool Hand Luke,Feature Film,8.2,126,1967,131466,11/1/1967,http://www.imdb.com/title/tt0061512/,Stuart Rosenberg,drama
31,tt0116282,Tue Oct  2 18:10:55 2012,Tue Oct  2 18:10:55 2012,,Fargo,Feature Film,8.1,98,1996,504721,3/8/1996,http://www.imdb.com/title/tt0116282/,Joel Coen,crime
31,tt0116282,Tue Oct  2 18:10:55 2012,Tue Oct  2 18:10:55 2012,,Fargo,Feature Film,8.1,98,1996,504721,3/8/1996,http://www.imdb.com/title/tt0116282/,Joel Coen,drama
31,tt0116282,Tue Oct  2 18:10:55 2012,Tue Oct  2 18:10:55 2012,,Fargo,Feature Film,8.1,98,1996,504721,3/8/1996,http://www.imdb.com/title/tt0116282/,Joel Coen,thriller
32,tt0073195,Tue Oct  2 18:11:01 2012,Tue Oct  2 18:11:01 2012,,Jaws,Feature Film,8,124,1975,458790,6/20/1975,http://www.imdb.com/title/tt0073195/,Steven Spielberg,adventure
32,tt0073195,Tue Oct  2 18:11:01 2012,Tue Oct  2 18:11:01 2012,,Jaws,Feature Film,8,124,1975,458790,6/20/1975,http://www.imdb.com/title/tt0073195/,Steven Spielberg,drama
32,tt0073195,Tue Oct  2 18:11:01 2012,Tue Oct  2 18:11:01 2012,,Jaws,Feature Film,8,124,1975,458790,6/20/1975,http://www.imdb.com/title/tt0073195/,Steven Spielberg,thriller
33,tt0032138,Tue Oct  2 18:11:09 2012,Tue Oct  2 18:11:09 2012,,The Wizard of Oz,Feature Film,8.1,102,1939,319335,8/12/1939,http://www.imdb.com/title/tt0032138/,Victor Fleming,adventure
33,tt0032138,Tue Oct  2 18:11:09 2012,Tue Oct  2 18:11:09 2012,,The Wizard of Oz,Feature Film,8.1,102,1939,319335,8/12/1939,http://www.imdb.com/title/tt0032138/,Victor Fleming,family
33,tt0032138,Tue Oct  2 18:11:09 2012,Tue Oct  2 18:11:09 2012,,The Wizard of Oz,Feature Film,8.1,102,1939,319335,8/12/1939,http://www.imdb.com/title/tt0032138/,Victor Fleming,fantasy
33,tt0032138,Tue Oct  2 18:11:09 2012,Tue Oct  2 18:11:09 2012,,The Wizard of Oz,Feature Film,8.1,102,1939,319335,8/12/1939,http://www.imdb.com/title/tt0032138/,Victor Fleming,musical
34,tt0434409,Tue Oct  2 18:11:21 2012,Tue Oct  2 18:11:21 2012,,V for Vendetta,Feature Film,8.2,132,2005,873512,12/11/2005,http://www.imdb.com/title/tt0434409/,James McTeigue,action
34,tt0434409,Tue Oct  2 18:11:21 2012,Tue Oct  2 18:11:21 2012,,V for Vendetta,Feature Film,8.2,132,2005,873512,12/11/2005,http://www.imdb.com/title/tt0434409/,James McTeigue,drama
34,tt0434409,Tue Oct  2 18:11:21 2012,Tue Oct  2 18:11:21 2012,,V for Vendetta,Feature Film,8.2,132,2005,873512,12/11/2005,http://www.imdb.com/title/tt0434409/,James McTeigue,thriller
